Metal Scale From 1" to 11":

x-range: 0.00E0; 3.26E3
scale: linear

y-range: 2.44E3; 0.00E0
scale: linear

points: 2
no sorting
2.42E2	1.53E3
3.05E3	1.44E3

Left Inner Involute Case Wrap:

x-range: 0.00E0; 3.26E3
scale: linear

y-range: 2.44E3; 0.00E0
scale: linear

points: 98
no sorting
2.10E3	1.63E3
2.18E3	1.47E3
2.20E3	1.42E3
2.21E3	1.36E3
2.21E3	1.30E3
2.21E3	1.26E3
2.21E3	1.20E3
2.20E3	1.13E3
2.18E3	1.08E3
2.17E3	1.04E3
2.14E3	9.84E2
2.11E3	9.39E2
2.10E3	9.29E2
2.08E3	9.16E2
2.07E3	9.06E2
2.05E3	8.95E2
2.04E3	8.88E2
1.99E3	8.54E2
1.90E3	8.16E2
1.82E3	7.98E2
1.76E3	7.93E2
1.73E3	7.95E2
1.68E3	8.02E2
1.61E3	8.21E2
1.55E3	8.48E2
1.50E3	8.83E2
1.46E3	9.22E2
1.42E3	9.64E2
1.39E3	1.01E3
1.37E3	1.05E3
1.35E3	1.09E3
1.34E3	1.14E3
1.33E3	1.19E3
1.33E3	1.23E3
1.33E3	1.26E3
1.33E3	1.29E3
1.33E3	1.31E3
1.33E3	1.32E3

Right Outter Involute Case Wrap:

x-range: 0.00E0; 3.26E3
scale: linear

y-range: 2.44E3; 0.00E0
scale: linear

points: 115
no sorting
2.56E3	1.11E3
2.58E3	1.09E3
2.58E3	1.06E3
2.58E3	1.02E3
2.57E3	9.89E2
2.56E3	9.60E2
2.54E3	9.14E2
2.52E3	8.65E2
2.49E3	8.21E2
2.47E3	7.83E2
2.44E3	7.35E2
2.39E3	6.78E2
2.35E3	6.35E2
2.31E3	5.99E2
2.25E3	5.59E2
2.20E3	5.22E2
2.13E3	4.85E2
2.08E3	4.64E2
2.01E3	4.41E2
1.97E3	4.28E2
1.90E3	4.13E2
1.85E3	4.06E2
1.81E3	4.03E2
1.77E3	4.02E2
1.72E3	4.02E2
1.67E3	4.07E2
1.59E3	4.20E2
1.51E3	4.41E2
1.45E3	4.64E2
1.38E3	4.95E2
1.32E3	5.25E2
1.28E3	5.52E2
1.24E3	5.84E2
1.20E3	6.19E2
1.17E3	6.49E2
1.13E3	6.84E2
1.10E3	7.27E2
1.07E3	7.66E2
1.07E3	7.77E2
1.07E3	7.85E2
1.05E3	8.15E2
1.03E3	8.53E2
1.00E3	8.97E2
9.84E2	9.52E2
9.63E2	1.01E3
9.51E2	1.06E3
9.44E2	1.10E3
9.40E2	1.15E3
9.37E2	1.20E3
9.36E2	1.25E3
9.39E2	1.30E3
9.47E2	1.36E3
9.55E2	1.41E3
9.67E2	1.46E3
9.83E2	1.50E3
1.06E3	1.66E3
1.09E3	1.69E3
1.13E3	1.74E3
1.16E3	1.77E3
1.20E3	1.80E3
1.24E3	1.82E3
1.29E3	1.85E3
1.34E3	1.88E3
1.39E3	1.89E3
1.45E3	1.91E3
1.51E3	1.92E3
1.58E3	1.93E3
1.64E3	1.93E3
1.70E3	1.92E3
1.76E3	1.91E3
1.81E3	1.89E3
1.86E3	1.87E3
1.92E3	1.84E3
1.97E3	1.81E3
2.03E3	1.76E3
2.07E3	1.72E3
2.10E3	1.68E3
2.15E3	1.62E3
2.22E3	1.47E3
2.23E3	1.43E3
2.24E3	1.39E3
2.25E3	1.31E3
2.25E3	1.23E3
2.24E3	1.17E3
2.23E3	1.12E3
2.21E3	1.07E3
2.19E3	1.02E3
2.17E3	9.86E2
2.15E3	9.48E2
2.12E3	9.13E2
2.09E3	8.82E2
2.06E3	8.50E2
2.02E3	8.27E2
1.98E3	8.01E2
1.92E3	7.76E2
1.85E3	7.59E2
1.79E3	7.53E2
1.74E3	7.54E2
1.70E3	7.56E2
1.64E3	7.67E2
1.59E3	7.87E2
1.54E3	8.07E2
1.48E3	8.46E2
1.43E3	8.86E2
1.39E3	9.33E2
1.36E3	9.79E2
1.33E3	1.03E3
1.31E3	1.07E3
1.30E3	1.11E3
1.29E3	1.16E3
1.29E3	1.20E3
1.29E3	1.24E3
1.29E3	1.28E3
1.30E3	1.31E3
1.31E3	1.33E3

Center Bearing ID of Outer Race:

x-range: 0.00E0; 3.26E3
scale: linear

y-range: 2.44E3; 0.00E0
scale: linear

points: 20
no sorting
1.69E3	1.49E3
1.75E3	1.48E3
1.81E3	1.45E3
1.85E3	1.40E3
1.88E3	1.34E3
1.88E3	1.25E3
1.86E3	1.19E3
1.80E3	1.12E3
1.73E3	1.09E3
1.65E3	1.08E3
1.58E3	1.10E3
1.53E3	1.14E3
1.50E3	1.18E3
1.49E3	1.23E3
1.48E3	1.28E3
1.48E3	1.34E3
1.51E3	1.39E3
1.54E3	1.43E3
1.58E3	1.47E3
1.64E3	1.48E3


Wabble Journal OD:

x-range: 0.00E0; 3.26E3
scale: linear

y-range: 2.44E3; 0.00E0
scale: linear

points: 14
no sorting
1.44E3	3.76E2
1.50E3	3.50E2
1.54E3	2.92E2
1.53E3	2.25E2
1.50E3	1.84E2
1.46E3	1.63E2
1.41E3	1.60E2
1.37E3	1.75E2
1.34E3	2.01E2
1.32E3	2.34E2
